"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C3, C4, C5, C6, C7, ","6",".1uF","C_Small","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C2, ","1","22uF","C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Polarized capacitor, US symbol",""
"J1, ","1","Apple II Expansion Bus","Conn_02x25_Counter_Clockwise","Apple2:Apple II Expansion Edge Connector","Generic connector, double row, 02x25, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","DRIVE 2","Conn_02x10_Odd_Even_2","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","DRIVE 1","Conn_02x10_Odd_Even_1","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","2N3906","2N3906","Package_TO_SOT_THT:TO-92_Inline_Wide","-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",""
"Q2, Q3, ","2","MPSU51","MPSA92_1","Package_TO_SOT_THT:TO-220-3_Vertical","0.5A Ic, 300V Vce, PNP High Voltage Transistor, TO-92",""
"R1, ","1","150","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, US symbol",""
"R2, ","1","68","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, US symbol",""
"R3, R7, ","2","3K","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, US symbol",""
"R4, ","1","1M","R_US","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, US symbol",""
"R5, ","1","49K","R_US","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, US symbol",""
"R6, ","1","560","R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, US symbol",""
"SW1, ","1","A8","SW_DPDT_x2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","Switch, dual pole double throw, separate symbols",""
"SW2, ","1","A9","SW_DPDT_x2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","Switch, dual pole double throw, separate symbols",""
"SW3, ","1","A10","SW_DPDT_x2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","Switch, dual pole double throw, separate symbols",""
"UA2, ","1","74LS132","74LS132","Package_DIP:DIP-14_W7.62mm","Quad 2-input NAND Schmitt trigger",""
"UA3, ","1","74LS174","74LS174","Package_DIP:DIP-16_W7.62mm","Hex D-type Flip-Flop, reset",""
"UB2, ","1","74LS05","74LS05","Package_DIP:DIP-14_W7.62mm","Inverter Open Collect",""
"UB3, ","1","2758/16 P6","2758","Package_DIP:DIP-24_W15.24mm","OTP EPROM 64 KiBit, [Obsolete 2004-01]",""
"UC2, ","1","74LS259","74LS259_1","Package_DIP:DIP-16_W7.62mm","8-bit addressable latch",""
"UC3, ","1","74LS323","74LS323","Package_DIP:DIP-20_W7.62mm","8-bit Universal Shift/Storage Register",""
"UD2, ","1","NE556","NE556_1","Package_DIP:DIP-14_W7.62mm","Dual Precision Timers, DIP-14/SOIC-14",""
"UD3, ","1","2758/16 P5","2716","Package_DIP:DIP-24_W15.24mm","OTP EPROM 64 KiBit, [Obsolete 2004-01]",""
